product_id,brand,product_name,price,capacity_L,size_cm,powerconsumptiongrade,door_count,image,numberofusers
302,삼성전자,삼성전자  RS84T508115,1242590,846,91.2 * 178 * 91.5,2,20,https://photo3.enuri.info/data/images/service/middle/48388000/48388717.jpg,4
303,캐리어,캐리어 클라윈드 피트인 KRNF560PPS1,899000,566,91 * 183 * 70.6,4,40,https://photo3.enuri.info/data/images/service/dnw/master/101868000/101868519.jpg,4
304,삼성전자,삼성전자  RS80T5190SL,2069990,805,91.2 * 178 * 91.5,2,20,https://photo3.enuri.info/data/images/service/middle/31453000/31453294.jpg,4
305,캐리어,캐리어 클라윈드 CFTD031WSM,137070,31,,-1,10,https://photo3.enuri.info/data/images/service/dnw/master/108723000/108723091.jpg,1
306,LG전자,LG전자  M272PR34BR,699000,273,,-1,20,https://image.enuri.info/webimage_300/11825900000/11825910000/11825916080.jpg,2
307,하이얼,하이얼  HRT50MDW,109000,48,45.5 * 50.5 * 45.5,5,10,https://photo3.enuri.info/data/images/service/dnw/master/99959000/99959698.jpg,1
308,LG전자,LG전자  B312DS31,632960,315,71 * 164 * 60,1,20,https://photo3.enuri.info/data/images/service/middle/11111000/11111785.jpg,2
309,삼성전자,삼성전자  BRS665040SR,2019810,665,106.7 * 211.3 * 65.6,4,20,https://photo3.enuri.info/data/images/service/middle/50471000/50471322.jpg,4
310,캐리어,캐리어 클라윈드 KRFC-275ATLWO,418500,275,59.5 * 185 * 63,3,20,https://photo3.enuri.info/data/images/service/dnw/master/106755000/106755762.jpg,2
311,LG전자,LG전자  GC-124HGFP,737960,130,,-1,40,https://image.enuri.info/webimage_300/6525000000/6525010000/6525015413.jpg,1
312,삼성전자,삼성전자  RS84T5041SA,1966490,846,91.2 * 178 * 91.5,2,20,https://photo3.enuri.info/data/images/service/middle/49907000/49907738.jpg,4
313,캐리어,캐리어 클라윈드 피트인 CRF-SN602WDC,1231610,602,91.4 * 181.7 * 74.8,3,20,https://photo3.enuri.info/data/images/service/dnw/master/78295000/78295632.jpg,4
314,LG전자,LG전자  B602S52,1091643,592,86 * 184 * 73,2,20,https://photo3.enuri.info/data/images/service/dnw/master/94419000/94419157.jpg,4
315,삼성전자,삼성전자  RS84B5001CW,1148370,852,91.2 * 178 * 91.5,2,20,https://image.enuri.info/webimage_300/10502900000/10502900000/10502901121.jpg,4
316,위니아,위니아 프라우드S RT087AS,220875,87,47 * 83.7 * 49.2,1,20,https://photo3.enuri.info/data/images/service/middle/12229000/12229253.jpg,1
317,LG전자,LG전자  B267SM,1409000,254,55.5 * 166.5 * 62,2,20,https://photo3.enuri.info/data/images/service/middle/1814000/1814599.jpg,2
318,하이얼,하이얼  HSC132MDB,238070,132,,-1,10,https://photo3.enuri.info/data/images/service/dnw/master/77504000/77504868.jpg,1
319,삼성전자,삼성전자  HAF-CIN3/EXP,3067820,0,,-1,-1,https://photo3.enuri.info/data/images/service/middle/27609000/27609107.jpg,-1
320,삼성전자,삼성전자  RS84A5080CE,1379000,845,,1,20,https://photo3.enuri.info/data/images/service/middle/48388000/48388050.jpg,4
321,위니아,위니아 클라쎄 FR-B183SW,281820,182,50 * 140 * 58,3,20,https://photo3.enuri.info/data/images/service/middle/28902000/28902463.jpg,1
322,위니아,위니아  WWRC051EEMWWO(A),126160,43,47.2 * 49.2 * 4.5,5,10,https://image.enuri.info/webimage_300/13756200000/13756250000/13756253028.jpg,1
323,LG전자,LG전자  B247W,5922660,237,53.7 * 160.5 * 60.4,5,20,https://photo3.enuri.info/data/images/service/middle/26829000/26829784.jpg,2
324,삼성전자,삼성전자  RR09R1000WW,1182890,86,47.9 * 84.2 * 44.6,4,10,https://image.enuri.info/webimage_300/16745300000/16745360000/16745369789.jpg,1
325,하이얼,하이얼  HRS445MNB,692830,433,83 * 185.5 * 65,4,40,https://photo3.enuri.info/data/images/service/dnw/master/67581000/67581400.jpg,2
326,LG전자,LG전자  A328W,484990,316,59.5 * 185 * 67.3,-1,10,https://photo3.enuri.info/data/images/service/middle/384000/384293.jpg,2
327,캐리어,캐리어 클라윈드 피트인 KRNF436MPS1,799000,436,83.6 * 183 * 63.6,4,40,https://image.enuri.info/webimage_300/12916900000/12916950000/12916954904.jpg,2
328,LG전자,LG전자  B322S01,897000,311,60 * 169 * 66.5,1,20,https://photo3.enuri.info/data/images/service/dnw/master/76443000/76443014.jpg,2
329,LG전자,LG전자  R-A054GDA,205000,46,44.3 * 50.1 * 45,2,10,https://photo3.enuri.info/data/images/service/middle/1417000/1417473.jpg,1
330,위니아,위니아  ERT118CCA,799000,118,54.3 * 97.8 * 61.5,3,10,https://image.enuri.info/webimage_300/17766000000/17766000000/17766006449.jpg,1
331,LG전자,LG전자  S695SI34B,7978990,686,107 * 208.7 ** 64.5,3,20,https://image.enuri.info/webimage_300/11804000000/11804010000/11804017745,4
332,삼성전자,삼성전자  RT62K7045SL,1082790,615,83.6 * 186.2 * 78.8,2,20,https://photo3.enuri.info/data/images/service/middle/13132000/13132813.jpg,4
333,위니아,위니아 프라우드S RR093AS,195690,93,47.2 * 86 * 45,3,10,https://photo3.enuri.info/data/images/service/middle/13973000/13973809.jpg,1
334,삼성전자,삼성전자  RH81K80D0SA,1500000,814,91.2 * 177.4 * 92,3,20,https://photo3.enuri.info/data/images/service/middle/14459000/14459915.jpg,4
335,위니아,위니아  WWRW486EEGDNO,1231630,479,,3,40,https://photo3.enuri.info/data/images/service/middle/101913000/101913193.jpg,2
336,LG전자,LG전자  B187W,378760,189,55.5 * 140 * 58.5,2,20,https://photo3.enuri.info/data/images/service/middle/21855000/21855065.jpg,1
337,삼성전자,삼성전자  RS80T5190B4,1966490,805,91.2 * 178 * 91.5,2,20,https://photo3.enuri.info/data/images/service/middle/54023000/54023776.jpg,4
338,LG전자,LG전자  B501S52,899990,507,78 * 180 * 73,2,20,https://image.enuri.info/webimage_300/8818800000/8818880000/8818884415.jpg,4
339,더함,더함  R205D1-MS1BM,319000,205,54 * 144 * 55,3,20,https://photo3.enuri.info/data/images/service/middle/101685000/101685890.jpg,2
340,삼성전자,삼성전자  RS84T50716C,1895640,846,91.2 * 178 * 89.1,2,20,https://photo3.enuri.info/data/images/service/middle/49301000/49301188.jpg,4
341,LG전자,LG전자  R326S,2078920,377,59.5 * 185 * 67.3,1,10,https://photo3.enuri.info/data/images/service/middle/14037000/14037352.jpg,2
342,캐리어,캐리어 클라윈드 피트인 KRNF560MPS1,999000,566,91 * 183 * 70.6,4,40,https://image.enuri.info/webimage_300/15673300000/15673340000/15673344117.jpg,4
343,삼성전자,삼성전자  RT25HAR4DWW,449940,255,55.5 * 163.5 * 63.7,2,20,https://photo3.enuri.info/data/images/service/middle/10979000/10979118.jpg,2
344,캐리어,캐리어 클라윈드 CRF-TD138MDS,999000,138,47 * 128 * 49.8,3,20,https://image.enuri.info/webimage_300/17766000000/17766000000/17766006445.jpg,1
345,캐리어,캐리어 클라윈드 KRNT255SEM1,319000,255,54 * 170 * 59,3,20,https://photo3.enuri.info/data/images/service/middle/38736000/38736014.jpg,2
346,LG전자,LG전자  B477WM,692990,480,78 * 172 * 73,2,20,https://photo3.enuri.info/data/images/service/middle/26943000/26943926.jpg,2
347,LG전자,LG전자  R328S,1337300,382,59.5 * 185 * 67.3,1,10,https://photo3.enuri.info/data/images/service/middle/29907000/29907802.jpg,2
348,삼성전자,삼성전자  RT43K6035SL,759990,437,70 * 178.5 * 72.6,2,20,https://image.enuri.info/webimage_300/14925500000/14925510000/14925518940.jpg,2
349,캐리어,캐리어 클라윈드 피트인 KRNF436PPS1,620010,436,83.6 * 183 * 63.6,4,40,https://photo3.enuri.info/data/images/service/dnw/master/99821000/99821870.jpg,2
350,삼성전자,삼성전자  RS84A5080CW,2335990,845,91.2 * 178 * 91.5,1,20,https://photo3.enuri.info/data/images/service/middle/13144000/13144391.jpg,4
351,캐리어,캐리어  CSR-465RD,1600000,380,,-1,-1,https://image.enuri.info/webimage_300/16157300000/16157390000/16157394096.jpg,2
352,LG전자,LG전자  A327S,1025000,316,,-1,10,https://photo3.enuri.info/data/images/service/middle/22288000/22288384.jpg,2
353,삼성전자,삼성전자  CFD-1144,4989990,1087,126 * 183 * 80,-1,-1,https://photo3.enuri.info/data/images/service/middle/78295000/78295630.jpg,4
354,LG전자,LG전자  B327WM,622780,311,60 * 169 * 66.5,2,20,https://photo3.enuri.info/data/images/service/middle/26860000/26860352.jpg,2
355,캐리어,캐리어 클라윈드 KFNO262SEH1,799000,0,60 * 185 * 66.5,-1,10,https://photo3.enuri.info/data/images/service/dnw/master/101913000/101913291.jpg,-1
356,LG전자,LG전자  B106S,249000,96,46.3 * 83 * 50,4,10,https://photo3.enuri.info/data/images/service/dnw/master/13450000/13450775.jpg,1
357,캐리어,캐리어 클라윈드 KRFC-306ATLWW,382890,306,,2,20,https://photo3.enuri.info/data/images/service/middle/38732000/38732071.jpg,2
